Player,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
Raheem Mostert\MostRa00,SF,64,58,0.408,0.357,22,180,214,2,0.64,0
Darrel Williams\WillDa10,KC,57,66,0.375,0.455,20,167,196,1,0.75,0
Brandon Bolden\BoldBr00,NE,52,52,0.698,0.698,11,111,153,1,0.82,0
Ryquell Armstead\ArmsRy00,JAX,49,46,0.196,0.181,24,144,205,2,0.58,0
Kerryon Johnson\JohnKe06,DET,40,41,0.299,0.319,15,127,146,1,0.67,0
Matt Breida\BreiMa00,SF,39,26,0.196,0.086,22,120,165,1,0.86,0
Rashaad Penny\PennRa00,SEA,38,29,0.457,0.314,11,83,123,1,0.73,0
Derrius Guice\GuicDe00,WAS,25,24,0.33,0.304,10,79,90,1,0.7,0
Dontrell Hilliard\HillDo00,CLE,24,17,0.165,0.073,15,92,107,0,0.8,0
Brian Hill\HillBr02,ATL,22,13,0.163,0.037,14,69,100,1,0.71,0
C.J. Prosise\ProsC.00,SEA,22,14,0.17,0.059,12,76,98,0,0.83,0
Alexander Mattison\MattAl01,MIN,19,20,0.218,0.247,12,82,76,0,0.83,0
Jordan Howard\HowaJo00,PHI,18,10,0.081,-0.015,14,69,94,1,0.71,0
Peyton Barber\BarbPe01,TB,17,8,0.001,-0.072,24,115,119,1,0.67,0
Wayne Gallman\GallWa00,NYG,15,17,0.058,0.085,16,102,85,1,0.69,0
Danny Vitale\VitaDa00,GB,13,13,0.036,0.033,12,97,81,0,0.58,0
Ameer Abdullah\AbduAm00,MIN,13,4,-0.034,-0.103,21,88,114,1,0.71,0
P.Ricard,BAL,13,15,0.044,0.078,11,47,75,1,0.73,0
Tony Pollard\PollTo00,DAL,12,24,-0.026,0.078,20,107,105,1,0.75,0
T.J. Yeldon\YeldT.00,BUF,12,27,0,0.186,16,124,84,0,0.81,0
Justice Hill\HillJu00,BAL,10,12,-0.023,0.007,15,70,80,0,0.53,0
Reggie Bonnafon\BonnRe00,CAR,7,-3,-0.01,-0.196,10,57,51,0,0.6,0
Wendell Smallwood\SmalWe00,WAS,6,2,-0.046,-0.112,13,64,62,0,0.69,0
Frank Gore\GoreFr00,BUF,5,14,-0.088,0.02,16,100,73,0,0.81,0
Ito Smith\SmitIt00,ATL,0,7,-0.142,-0.031,14,87,47,0,0.79,0
Adrian Peterson\PeteAd01,WAS,0,-2,-0.141,-0.156,23,142,92,0,0.74,1
Chase Edmonds\EdmoCh00,ARI,-1,-1,-0.148,-0.15,21,105,87,1,0.57,0
Marlon Mack\MackMa00,IND,-4,3,-0.179,-0.107,17,82,61,0,0.82,0
Travis Homer\HomeTr00,SEA,-5,-2,-0.213,-0.173,13,56,40,0,0.85,0
Jordan Wilkins\WilkJo01,IND,-9,-8,-0.305,-0.298,11,43,19,0,0.64,0
Sony Michel\MichSo00,NE,-9,-12,-0.213,-0.244,20,94,66,0,0.6,0
Darwin Thompson\ThomDa06,KC,-11,-6,-0.338,-0.239,10,43,17,0,0.9,0
Myles Gaskin\GaskMy00,MIA,-14,-15,-0.325,-0.339,12,51,25,0,0.58,0
Zach Line\LineZa01,NO,-16,-15,-0.505,-0.499,10,36,-2,0,0.6,0
Ty Montgomery\MontTy01,NYJ,-26,-15,-0.41,-0.299,17,90,15,0,0.76,0
Mark Walton\WaltMa00,MIA,-27,-40,-0.382,-0.502,21,89,23,0,0.71,1
Darren Sproles\SproDa00,PHI,-30,-30,-0.633,-0.632,10,24,-19,0,0.6,0
Justin Jackson\JackJu01,LAC,-33,-30,-0.745,-0.689,11,22,-29,0,0.82,0
Carlos Hyde\HydeCa00,HOU,-37,-47,-0.507,-0.608,16,42,-5,0,0.63,0
Bilal Powell\PoweBi00,NYJ,-46,-31,-0.908,-0.653,12,33,-52,0,0.58,0
Kalen Ballage\BallKa00,MIA,-65,-64,-0.667,-0.659,24,63,-46,0,0.58,0
