Player,Position,Team,DYAR,YAR,DVOA,VOA,Passes,Yards,EYds,TD,Catch Rate,FUM
J.Leggett,TE,NYJ,-16,-25,-17.40%,-23.00%,25,114,99,1,56%,0
C.J.Uzomah,TE,CIN,-18,-9,-11.30%,-9.30%,65,439,329,3,66%,0
R.Griffin,TE,HOU,-18,-30,-13.50%,-17.60%,43,305,206,0,56%,0
J.Croom,TE,BUF,-27,-41,-19.50%,-25.70%,35,259,126,1,63%,2
J.O'Shaughnessy,TE,JAX,-49,-37,-28.90%,-23.80%,38,214,84,0,63%,0
N.Boyle,TE,BAL,-50,-62,-26.60%,-30.90%,37,213,110,0,62%,0
D.Njoku,TE,CLE,-63,-45,-18.10%,-15.00%,88,639,352,4,64%,0
M.Gesicki,TE,MIA,-70,-56,-37.30%,-31.20%,32,202,44,0,69%,1
J.Heuerman,TE,DEN,-70,-44,-29.70%,-21.30%,48,281,110,2,65%,0
C.Clay,TE,BUF,-70,-65,-38.30%,-36.10%,36,197,37,0,58%,1
J.Reed,TE,WAS,-80,-59,-22.20%,-18.20%,84,554,277,2,64%,1
R.Seals-Jones,TE,ARI,-158,-143,-43.70%,-40.30%,69,343,21,1,49%,0
A.Firkser,TE,TEN,85,85,59.30%,59.70%,20,225,292,1,95%,0
L.Toilolo,TE,DET,75,72,37.30%,35.60%,24,263,304,1,88%,0
E.Dickson,TE,SEA,56,67,61.40%,73.80%,13,143,192,3,92%,0
D.Fells,TE,CLE,52,55,53.90%,57.70%,12,117,185,3,92%,0
E.Swoope,TE,IND,41,39,47.40%,45.70%,10,87,152,3,80%,0
W.Dissly,TE,SEA,36,29,30.60%,22.80%,14,156,160,2,57%,0
T.Eifert,TE,CIN,36,50,21.10%,32.30%,19,179,185,1,79%,0
L.Smith,TE,OAK,31,34,25.50%,28.40%,11,73,148,3,91%,0
M.Pruitt,TE,TEN,28,23,32.10%,25.30%,11,102,121,1,82%,0
N.O'Leary,TE,MIA,27,30,29.30%,34.10%,10,86,120,1,80%,0
L.Stocker,TE,TEN,26,31,11.40%,14.70%,21,165,174,2,71%,0
M.Williams,TE,BAL,18,20,8.20%,9.60%,17,143,140,1,94%,0
M.Alie-Cox,TE,IND,16,18,9.50%,11.70%,13,133,115,2,54%,0
J.Hill,TE,NO,12,9,0.10%,-1.90%,24,185,162,1,67%,0
D.Schultz,TE,DAL,4,-7,-4.00%,-13.10%,17,116,104,0,71%,0
B.Bell,TE,JAX,1,-1,-5.00%,-9.50%,11,67,57,0,73%,0
M.Roberts,TE,DET,1,-21,-6.70%,-23.90%,20,100,106,3,45%,0
J.Gresham,TE,ARI,-3,-3,-11.40%,-11.30%,12,94,63,0,75%,1
D.Carrier,TE,OAK,-4,-11,-12.40%,-21.40%,12,67,58,1,58%,0
S.Simonson,TE,NYG,-5,-14,-11.60%,-18.90%,14,86,89,1,64%,0
N.Paul,TE,JAX,-9,4,-18.80%,-2.70%,13,98,47,0,77%,0
H.Hurst,TE,BAL,-16,-18,-17.50%,-18.80%,23,163,97,1,57%,0
D.Smythe,TE,MIA,-17,-20,-31.20%,-34.40%,11,50,23,0,55%,0
D.Arnold,TE,NO,-18,-18,-21.00%,-20.80%,19,150,72,1,63%,1
E.Tomlinson,TE,NYJ,-23,-24,-37.40%,-39.10%,14,72,14,0,57%,0
A.Seferian-Jenkins,TE,JAX,-24,-33,-25.90%,-33.00%,19,90,56,1,58%,0
J.Butt,TE,DEN,-26,-19,-38.70%,-30.70%,13,85,13,0,62%,0
J.Perkins,TE,PHI,-27,-16,-42.20%,-27.70%,11,67,6,0,45%,0
L.Willson,TE,DET,-28,-25,-28.60%,-26.40%,19,87,49,0,68%,0
L.Thomas,TE,BUF,-37,-41,-43.50%,-47.70%,17,77,5,0,71%,0
B.Parker,TE,DEN,-40,-35,-65.00%,-58.20%,10,33,-29,0,50%,0
